id,case_number,district,sr_location,latitude,longitude
31363752,101004009121,K,"4959 N CANCUN, HOUSTON TX 77045",29.63004531,-95.45566907
31363760,101004009126,K,"15626 BRIAR SPRING, HOUSTON TX 77489",29.60043634,-95.48149477
31363780,101004009143,A,"5015 FALLEN OAKS, HOUSTON TX 77091",29.8474113,-95.46571188
31363817,101004009168,A,"9602 RAILTON, HOUSTON TX 77080",29.82859055,-95.52928551
31363826,101004009175,D,"6107 BELDART, HOUSTON TX 77033",29.66224173,-95.32037205
31363892,101004009225,D,"5751 BELMARK, HOUSTON TX 77033",29.66418516,-95.33447843
31363899,101004009230,A,"8418 SONNEVILLE, HOUSTON TX 77055",29.82461814,-95.49618047
31363932,101004009262,K,"15803 RIDGEBAR, HOUSTON TX 77053",29.59328628,-95.45094021
31364038,101004009359,I,"6618 FLAMINGO, HOUSTON TX 77087",29.6626596,-95.31087812
31364080,101004009394,C,"5834 WIGTON, HOUSTON TX 77096",29.6696723,-95.49170969
31364100,101004009407,D,"12002 LEITRIM, HOUSTON TX 77047",29.6305848,-95.36342196
31364106,101004009413,D,"4318 BUNGALOW, HOUSTON TX 77047",29.63136966,-95.35898323
31364116,101004009423,A,"6849 MALIBU, HOUSTON TX 77092",29.83675273,-95.49081785
31364129,101004009436,D,"8111 LANHAM, HOUSTON TX 77075",29.62328166,-95.2743209
31364189,101004009491,C,"5021 VERDOME, HOUSTON TX 77092",29.83539023,-95.46605833
31364211,101004009511,D,"5137 WILMINGTON, HOUSTON TX 77033",29.65575337,-95.3446622
31364253,101004009539,A,"9823 EMNORA, HOUSTON TX 77080",29.8151258,-95.53544374
31364258,101004009542,B,"3013 STALLINGS, HOUSTON TX 77088",29.88507536,-95.45607249
31364263,101004009545,D,"4326 LARKSPUR, HOUSTON TX 77051",29.6609907,-95.36348645
31364274,101004009552,A,"30 WICKERBAY, HOUSTON TX 77080",29.79710773,-95.53740604
31364313,101004009578,I,"2403 CUMBERLAND, HOUSTON TX 77023",29.71558944,-95.32053966
31364318,101004009581,D,"11015 CARLTON, HOUSTON TX 77047",29.63952864,-95.36666657
31364369,101004009613,D,"3513 GOODHOPE, HOUSTON TX 77021",29.68438226,-95.37395988
31364409,101004009643,K,"4207 BURAS PASS, HOUSTON TX 77045",29.64172942,-95.44121538
31364433,101004009662,K,"13114 WHITE HEATHER, HOUSTON TX 77045",29.63610984,-95.43863763
31364439,101004009666,K,"4615 SABA, HOUSTON TX 77045",29.62106508,-95.4481713
29711921,101003858623,D,"5927 GOFORTH, HOUSTON TX 77021",,
